geoid,public_label
36029000110,TRACT-001
36029000200,TRACT-002
36029000500,TRACT-003
36029000600,TRACT-004
36029000700,TRACT-005
36029000800,TRACT-006
36029000900,TRACT-007
36029001000,TRACT-008
36029001100,TRACT-009
36029001403,TRACT-010
36029001404,TRACT-011
36029001500,TRACT-012
36029001601,TRACT-013
36029001602,TRACT-014
36029001700,TRACT-015
36029001900,TRACT-016
36029002300,TRACT-017
36029002400,TRACT-018
36029002502,TRACT-019
36029002703,TRACT-020
36029002704,TRACT-021
36029002801,TRACT-022
36029002802,TRACT-023
36029002900,TRACT-024
36029003000,TRACT-025
36029003100,TRACT-026
36029003301,TRACT-027
36029003302,TRACT-028
36029003400,TRACT-029
36029003501,TRACT-030
36029003502,TRACT-031
36029003600,TRACT-032
36029003700,TRACT-033
36029003800,TRACT-034
36029003901,TRACT-035
36029004002,TRACT-036
36029004003,TRACT-037
36029004100,TRACT-038
36029004200,TRACT-039
36029004300,TRACT-040
36029004401,TRACT-041
36029004402,TRACT-042
36029004500,TRACT-043
36029004601,TRACT-044
36029004701,TRACT-045
36029004702,TRACT-046
36029004800,TRACT-047
36029004901,TRACT-048
36029004902,TRACT-049
36029005000,TRACT-050
36029005100,TRACT-051
36029005201,TRACT-052
36029005202,TRACT-053
36029005300,TRACT-054
36029005400,TRACT-055
36029005500,TRACT-056
36029005600,TRACT-057
36029005700,TRACT-058
36029005801,TRACT-059
36029005802,TRACT-060
36029005900,TRACT-061
36029006100,TRACT-062
36029006301,TRACT-063
36029006302,TRACT-064
36029006501,TRACT-065
36029006601,TRACT-066
36029006602,TRACT-067
36029006701,TRACT-068
36029006702,TRACT-069
36029006801,TRACT-070
36029006802,TRACT-071
36029006901,TRACT-072
36029006903,TRACT-073
36029006904,TRACT-074
36029007000,TRACT-075
36029007102,TRACT-076
36029007103,TRACT-077
36029007104,TRACT-078
36029007202,TRACT-079
36029016300,TRACT-080
36029016400,TRACT-081
36029016500,TRACT-082
36029016600,TRACT-083
36029016700,TRACT-084
36029016801,TRACT-085
36029016802,TRACT-086
36029016900,TRACT-087
36029017000,TRACT-088
36029017100,TRACT-089
